1916 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Charleston-North Charleston, SC, Metropolitan Statistical Area",129972,807,58683,94,0,376,45.2,318,0,249
"Charlotte-Concord-Gastonia, NC-SC, Metropolitan Statistical Area",356372,865,187988,33,0,132,52.8,149,0,567
"Charlottesville, VA, Metropolitan Statistical Area",83921,751,42016,132,0,526,50.1,195,0,705
"Chattanooga, TN-GA, Metropolitan Statistical Area",142304,818,50500,105,0,420,35.5,601,0,358
"Cheyenne, WY, Metropolitan Statistical Area",26127,348,5268,734,0,798,20.2,838,0,283
"Chicago-Naperville-Elgin, IL-IN-WI, Metropolitan Statistical Area",2930742,896,1385485,2,0,9,47.3,259,0,14
"Chico, CA, Metropolitan Statistical Area",27301,366,4759,749,0,843,17.4,850,0,331
"Chillicothe, OH, Micropolitan Statistical Area",40069,548,13183,442,0,689,32.9,650,0,536
"Cincinnati, OH-KY-IN, Metropolitan Statistical Area",818583,890,348674,14,0,57,42.6,396,0,541
"Claremont-Lebanon, NH-VT, Micropolitan Statistical Area",113373,792,33847,163,0,619,29.9,709,0,713
"Clarksburg, WV, Micropolitan Statistical Area",77607,734,30550,191,0,703,39.4,484,0,805
"Clarksdale, MS, Micropolitan Statistical Area",34217,494,20941,280,0,97,61.2,65,0,260
"Clarksville, TN-KY, Metropolitan Statistical Area",87056,756,37467,146,0,568,43.0,386,0,511
"Clearlake, CA, Micropolitan Statistical Area",5526,45,1305,866,0,395,23.6,804,0,148
"Cleveland, MS, Micropolitan Statistical Area",48905,613,22390,258,0,10,45.8,300,0,178
"Cleveland, TN, Metropolitan Statistical Area",30452,433,8963,593,0,326,29.4,715,0,731
"Cleveland-Elyria, OH, Metropolitan Statistical Area",774657,887,442254,8,0,33,57.1,94,0,376
"Clinton, IA, Micropolitan Statistical Area",45394,583,15445,375,0,477,34.0,631,0,478
"Clovis, NM, Micropolitan Statistical Area",11443,103,2766,826,0,235,24.2,794,0,108
"Coeur d'Alene, ID, Metropolitan Statistical Area",22747,292,3749,796,0,115,16.5,858,0,363
"Coffeyville, KS, Micropolitan Statistical Area",49474,616,15416,376,0,481,31.2,680,0,626
"Coldwater, MI, Micropolitan Statistical Area",25605,341,6068,697,0,687,23.7,803,0,144
"College Station-Bryan, TX, Metropolitan Statistical Area",65060,699,41674,133,0,529,64.1,47,0,189
"Colorado Springs, CO, Metropolitan Statistical Area",57672,666,17368,336,0,321,30.1,703,0,695
"Columbia, MO, Metropolitan Statistical Area",30533,435,15410,377,0,485,50.5,187,0,681
"Columbia, SC, Metropolitan Statistical Area",181296,833,95567,54,0,216,52.7,150,0,570
"Columbus, GA-AL, Metropolitan Statistical Area",94783,769,42084,131,0,523,44.4,336,0,321
"Columbus, IN, Metropolitan Statistical Area",24813,329,11360,499,0,860,45.8,301,0,182
"Columbus, MS, Micropolitan Statistical Area",30703,440,10497,534,0,90,34.2,626,0,458
"Columbus, NE, Micropolitan Statistical Area",19006,226,10707,526,0,59,56.3,103,0,412
"Columbus, OH, Metropolitan Statistical Area",487332,875,204746,28,0,112,42.0,410,0,583
"Concord, NH, Micropolitan Statistical Area",53335,637,21879,266,0,42,41.0,432,0,649
"Connersville, IN, Micropolitan Statistical Area",14415,151,5817,711,0,729,40.4,457,0,724
"Cookeville, TN, Micropolitan Statistical Area",50913,623,13229,438,0,677,26.0,762,0,872
"Coos Bay, OR, Micropolitan Statistical Area",17959,208,3385,807,0,159,18.8,845,0,311
"Cordele, GA, Micropolitan Statistical Area",16423,182,8594,608,0,386,52.3,156,0,588
"Corinth, MS, Micropolitan Statistical Area",18159,209,7551,645,0,531,41.6,419,0,610
"Cornelia, GA, Micropolitan Statistical Area",10134,89,4449,763,0,885,43.9,357,0,405
"Corning, NY, Micropolitan Statistical Area",83362,750,30769,187,0,691,36.9,558,0,187
"Corpus Christi, TX, Metropolitan Statistical Area",31368,453,15112,382,0,505,48.2,233,0,819
"Corsicana, TX, Micropolitan Statistical Area",47070,596,21709,267,0,46,46.1,291,0,142
"Cortland, NY, Micropolitan Statistical Area",29249,406,12647,458,0,737,43.2,377,0,484
"Corvallis, OR, Metropolitan Statistical Area",10663,93,3478,802,0,139,32.6,660,0,566
"Coshocton, OH, Micropolitan Statistical Area",30121,422,12019,480,0,803,39.9,471,0,766
"Craig, CO, Micropolitan Statistical Area",0,3,234,891,0,495,,896,,896
"Crawfordsville, IN, Micropolitan Statistical Area",29296,407,13413,430,0,653,45.8,299,0,174
"Crescent City, CA, Micropolitan Statistical Area",2417,19,753,880,0,451,31.2,681,0,629
"Crestview-Fort Walton Beach-Destin, FL, Metropolitan Statistical Area",16460,183,7267,658,0,570,44.1,348,0,369
"Crossville, TN, Micropolitan Statistical Area",9327,77,2310,838,0,283,24.8,786,0,76
"Cullman, AL, Micropolitan Statistical Area",28321,383,9936,559,0,190,35.1,612,0,402
"Cullowhee, NC, Micropolitan Statistical Area",12998,126,3568,801,0,135,27.5,744,0,818
"Cumberland, MD-WV, Metropolitan Statistical Area",79085,738,33968,161,0,613,43.0,389,0,520
"Dallas-Fort Worth-Arlington, TX, Metropolitan Statistical Area",570919,879,248063,22,0,88,43.4,369,0,453
"Dalton, GA, Metropolitan Statistical Area",25697,342,8420,613,0,406,32.8,652,0,542
"Danville, IL, Metropolitan Statistical Area",77996,735,27291,220,0,790,35.0,615,0,414
"Danville, KY, Micropolitan Statistical Area",32565,467,15715,370,0,457,48.3,231,0,813
"Danville, VA, Micropolitan Statistical Area",69729,714,27075,222,0,796,38.8,508,0,877
"Daphne-Fairhope-Foley, AL, Metropolitan Statistical Area",18178,210,8795,599,0,350,48.4,227,0,801
"Davenport-Moline-Rock Island, IA-IL, Metropolitan Statistical Area",191863,839,69303,75,0,300,36.1,580,0,274
"Dayton, OH, Metropolitan Statistical Area",238543,849,110796,47,0,188,46.4,281,0,102
"Dayton, TN, Micropolitan Statistical Area",15410,162,4184,771,0,16,27.2,747,0,827
"Decatur, AL, Metropolitan Statistical Area",55765,654,24317,242,0,856,43.6,366,0,441
"Decatur, IL, Metropolitan Statistical Area",54186,642,21124,277,0,85,39.0,499,0,850
"Decatur, IN, Micropolitan Statistical Area",21840,273,8580,609,0,390,39.3,487,0,814
"Defiance, OH, Micropolitan Statistical Area",24498,322,10822,521,0,39,44.2,346,0,361
"Del Rio, TX, Micropolitan Statistical Area",8613,71,5493,721,0,759,63.8,49,0,197
"Deltona-Daytona Beach-Ormond Beach, FL, Metropolitan Statistical Area",16510,184,7885,631,0,478,47.8,245,0,855
"Deming, NM, Micropolitan Statistical Area",3913,28,2467,831,0,255,63.0,50,0,201
"Denver-Aurora-Lakewood, CO, Metropolitan Statistical Area",266914,856,76885,70,0,280,28.8,720,0,746
"DeRidder, LA, Micropolitan Statistical Area",0,4,1941,850,0,331,,893,,893
"Des Moines-West Des Moines, IA, Metropolitan Statistical Area",185255,835,78293,66,0,264,42.3,404,0,565
"Detroit-Warren-Dearborn, MI, Metropolitan Statistical Area",709883,885,423116,9,0,37,59.6,74,0,296
"Dickinson, ND, Micropolitan Statistical Area",12504,118,8370,614,0,410,66.9,35,0,141
"Dixon, IL, Micropolitan Statistical Area",27750,377,11138,510,0,893,40.1,464,0,745
"Dodge City, KS, Micropolitan Statistical Area",11393,100,5486,722,0,762,48.2,234,0,822
"Dothan, AL, Metropolitan Statistical Area",79587,739,30394,194,0,712,38.2,525,0,55
"Douglas, GA, Micropolitan Statistical Area",21953,275,9706,569,0,230,44.2,345,0,357
"Dover, DE, Metropolitan Statistical Area",32721,468,9816,563,0,206,30.0,707,0,707
"Dublin, GA, Micropolitan Statistical Area",48398,609,28337,209,0,757,58.5,81,0,324
"DuBois, PA, Micropolitan Statistical Area",93768,768,40589,135,0,535,43.3,376,0,481
"Dubuque, IA, Metropolitan Statistical Area",57450,663,36004,152,0,586,62.7,54,0,217
"Duluth, MN-WI, Metropolitan Statistical Area",228255,847,81566,63,0,252,35.7,589,0,310
"Dumas, TX, Micropolitan Statistical Area",561,11,260,890,0,491,46.3,285,0,118
"Duncan, OK, Micropolitan Statistical Area",22252,280,5313,729,0,783,23.9,801,0,136
"Dunn, NC, Micropolitan Statistical Area",22174,278,10412,537,0,102,47.0,267,0,46
"Durango, CO, Micropolitan Statistical Area",10812,95,4028,779,0,48,37.3,544,0,131
"Durant, OK, Micropolitan Statistical Area",29854,418,6604,676,0,624,22.1,819,0,208
"Durham-Chapel Hill, NC, Metropolitan Statistical Area",90331,761,46301,119,0,476,51.3,174,0,642
"Dyersburg, TN, Micropolitan Statistical Area",27721,374,10497,533,0,86,37.9,532,0,83
"Eagle Pass, TX, Micropolitan Statistical Area",5151,42,5121,739,0,813,99.4,8,0,33
"East Stroudsburg, PA, Metropolitan Statistical Area",22941,297,8666,606,0,378,37.8,534,0,91
"Easton, MD, Micropolitan Statistical Area",19620,236,7163,665,0,591,36.5,569,0,230
"Eau Claire, WI, Metropolitan Statistical Area",64824,697,32002,174,0,652,49.4,212,0,756
"Edwards, CO, Micropolitan Statistical Area",2985,21,505,885,0,471,16.9,855,0,351
"Effingham, IL, Micropolitan Statistical Area",20055,249,11208,506,0,881,55.9,107,0,428
"El Campo, TX, Micropolitan Statistical Area",21123,263,7561,643,0,525,35.8,588,0,306
"El Centro, CA, Metropolitan Statistical Area",13591,136,3808,791,0,95,28.0,732,0,782
"El Dorado, AR, Micropolitan Statistical Area",30723,441,13388,432,0,659,43.6,367,0,445
"El Paso, TX, Metropolitan Statistical Area",52599,632,52291,103,0,412,99.4,9,0,37
"Elizabeth City, NC, Micropolitan Statistical Area",33387,479,19429,299,0,173,58.2,84,0,336
"Elizabethtown-Fort Knox, KY, Metropolitan Statistical Area",43180,567,24233,243,0,859,56.1,104,0,416
"Elk City, OK, Micropolitan Statistical Area",19699,242,4882,747,0,837,24.8,785,0,72
"Elkhart-Goshen, IN, Metropolitan Statistical Area",49008,615,19629,292,0,145,40.1,469,0,760
"Elkins, WV, Micropolitan Statistical Area",26028,346,8276,618,0,426,31.8,670,0,596
"Elko, NV, Micropolitan Statistical Area",9963,84,1734,853,0,343,17.4,851,0,335
"Ellensburg, WA, Micropolitan Statistical Area",18561,216,4714,752,0,852,25.4,767,0,887
"Elmira, NY, Metropolitan Statistical Area",54662,645,30799,186,0,688,56.3,101,0,404
"Emporia, KS, Micropolitan Statistical Area",24927,331,9440,577,0,262,37.9,531,0,79
"Enid, OK, Micropolitan Statistical Area",33050,474,9918,560,0,194,30.0,706,0,704
"Enterprise, AL, Micropolitan Statistical Area",26119,347,10161,547,0,142,38.9,505,0,868
"Erie, PA, Metropolitan Statistical Area",115517,795,67572,77,0,308,58.5,82,0,328
"Escanaba, MI, Micropolitan Statistical Area",30108,421,15977,362,0,425,53.1,142,0,546
"Española, NM, Micropolitan Statistical Area",16624,187,13782,419,0,620,82.9,16,0,65
"Eugene, OR, Metropolitan Statistical Area",33783,487,9487,576,0,258,28.1,730,0,776
"Eureka-Arcata-Fortuna, CA, Micropolitan Statistical Area",33857,488,10300,541,0,118,30.4,697,0,677
"Evanston, WY, Micropolitan Statistical Area",16982,193,2505,830,0,251,14.8,866,0,395
"Evansville, IN-KY, Metropolitan Statistical Area",150371,819,60302,91,0,364,40.1,466,0,751
"Fairfield, IA, Micropolitan Statistical Area",15951,169,6531,679,0,633,40.9,435,0,658
"Fairmont, WV, Micropolitan Statistical Area",42794,564,19498,298,0,169,45.6,309,0,214
"Fallon, NV, Micropolitan Statistical Area",2811,20,569,883,0,463,20.2,837,0,279
"Fargo, ND-MN, Metropolitan Statistical Area",53575,640,20791,282,0,105,38.8,509,0,880
"Faribault-Northfield, MN, Micropolitan Statistical Area",25911,345,14462,396,0,551,55.8,108,0,432
"Farmington, MO, Micropolitan Statistical Area",35738,513,13011,447,0,704,36.4,572,0,242
"Farmington, NM, Metropolitan Statistical Area",8504,68,2028,847,0,319,23.8,802,0,140
"Fayetteville, NC, Metropolitan Statistical Area",35284,509,19610,293,0,149,55.6,109,0,436
"Fayetteville-Springdale-Rogers, AR-MO, Metropolitan Statistical Area",96873,773,24334,241,0,853,25.1,772,0,20
